cekmece ates: 106 216
t~3.4sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~4.8sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~6.2sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~7.6sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~9.0sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~10.4sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~11.8sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~13.2sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~14.6sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
t~16.0sn acik=True metin=['Tümü', 'Canlı', 'Oturum ara…', 'Yeni sohbet', 'Genel akış', 'Gruplar', 'Henüz oturum yok.\nYeni soh']
video cekildi
