View clk | '' | cd='' | [43,153][169,279]
View | '' | cd='Oturumlar' | [74,184][137,247]
View clk | '' | cd='' | [210,152][691,278]
TextView | 'Sohbet' | cd='' | [210,152][343,215]
TextView | 'Sunucu bağlı değil — "Sunucu ekle" ile adres + token girin' | cd='' | [210,215][691,278]
View clk | '' | cd='' | [692,153][818,279]
View | '' | cd='Menü' | [723,184][786,247]
View clk | '' | cd='' | [818,153][944,279]
View | '' | cd='Sesli sohbet' | [849,184][912,247]
View clk | '' | cd='' | [944,153][1070,279]
View | '' | cd='Yeni sohbet' | [975,184][1038,247]
TextView | "Hermes'e yaz" | cd='' | [359,842][625,905]
TextView | 'Sunucu bağlı değil — "Sunucu ekle" ile adres + token girin' | cd='' | [63,921][920,984]
View clk | '' | cd='' | [329,1022][655,1148]
TextView | 'Sunucu ekle' | cd='' | [392,1058][592,1111]
View clk | '' | cd='' | [47,1716][284,1838]
TextView | 'Yönlendirici' | cd='' | [89,1753][242,1806]
View clk | '' | cd='' | [0,1838][1080,1964]
View | '' | cd='Son 60 sn token hızı grafiği' | [37,1877][184,1924]
TextView | '0 aktif ajan' | cd='' | [210,1869][382,1932]
TextView | '≈—t/s' | cd='' | [913,1869][1001,1932]
View | '' | cd='Oturum dökümü' | [1001,1880][1043,1922]
View clk | '' | cd='' | [17,1981][143,2107]
View | '' | cd='Ek' | [48,2012][111,2075]
EditText clk | '' | cd='' | [142,1959][906,2106]
TextView | 'Mesaj yaz — bağlanınca gönderilir' | cd='' | [184,2001][773,2064]
ImageView | '' | cd='Basılı tut, konuş' | [956,2014][1019,2077]
TextView | 'Sohbet' | cd='' | [78,2253][176,2295]
View clk | '' | cd='' | [276,2127][530,2337]
TextView | 'Pano' | cd='' | [367,2253][438,2295]
View clk | '' | cd='' | [551,2127][805,2337]
TextView | 'Arena' | cd='' | [636,2253][719,2295]
View clk | '' | cd='' | [826,2127][1080,2337]
TextView | 'Ayarlar' | cd='' | [903,2253][1003,2295]
