TextView | 'Sunucu ekle' | cd='' | [183,199][522,283]
EditText clk | 'tur22-mock' | cd='' | [183,325][897,493]
TextView | 'Ad' | cd='' | [225,325][266,367]
EditText clk | 'http://127.0.0.1:9151' | cd='' | [183,514][897,682]
TextView | 'Adres' | cd='' | [225,514][311,556]
EditText clk | '••••••••••••' | cd='' | [183,703][897,871]
TextView | 'Oturum anahtarı' | cd='' | [225,703][467,745]
View clk | '' | cd='' | [772,736][898,862]
View | '' | cd='Tokeni göster' | [811,775][858,822]
EditText clk | '' | cd='' | [183,892][897,1060]
TextView | 'Uzak adres (ev dışı)' | cd='' | [225,955][593,1018]
TextView | "LAN adresine ulaşılamazsa buraya düşer. Tailscale IP'si ya da tünel ad" | cd='' | [183,1081][897,1155]
TextView | 'Adres deneme durumu' | cd='' | [183,1176][481,1229]
TextView | 'Adres girilmedi' | cd='' | [183,1250][366,1287]
View clk | '' | cd='' | [183,1309][582,1435]
TextView | 'Adresleri şimdi dene' | cd='' | [215,1345][550,1398]
EditText clk | '' | cd='' | [183,1455][897,1491]
View clk | '' | cd='' | [514,1492][698,1618]
TextView | 'Vazgeç' | cd='' | [546,1528][666,1581]
View clk | '' | cd='' | [719,1492][897,1618]
TextView | 'Kaydet' | cd='' | [751,1528][865,1581]
