FrameLayout | '' | cd='Tema' | [0,0][1080,535]
ImageButton clk | '' | cd='Yukarı git' | [0,146][147,293]
TextView | 'Temalarım' | cd='' | [0,556][214,608]
CardView clk | '' | cd='Resmimle klavye teması oluştur' | [22,619][352,866]
TextView | 'Varsayılan' | cd='' | [0,898][212,950]
LinearLayout clk | '' | cd='Dinamik renk teması' | [22,961][352,1265]
LinearLayout clk | '' | cd='Varsayılan otomatik tema' | [375,961][705,1265]
LinearLayout clk | '' | cd='Varsayılan tema' | [727,961][1057,1265]
LinearLayout clk | '' | cd='Varsayılan koyu tema' | [22,1287][352,1591]
TextView | 'Renkler' | cd='' | [0,1623][168,1675]
CardView clk | '' | cd='Açık Renk Materyal Teması' | [22,1686][352,1933]
CardView clk | '' | cd='Koyu Renk Materyal Teması' | [375,1686][705,1933]
CardView clk | '' | cd='Google Açık Renk Teması' | [727,1686][1057,1933]
CardView clk | '' | cd='Google Koyu Renk Teması' | [22,1955][352,2202]
CardView clk | '' | cd='Kırmızı Tema' | [375,1955][705,2202]
CardView clk | '' | cd='Yeşil Tema' | [727,1955][1057,2202]
CardView clk | '' | cd='Turkuaz Tema' | [22,2224][352,2400]
CardView clk | '' | cd='Mavi Tema' | [375,2224][705,2400]
CardView clk | '' | cd='Camgöbeği Tema' | [727,2224][1057,2400]
