View clk | '' | cd='Gezinme menüsünü kapat' | [918,0][1080,2127]
View clk | '' | cd='' | [32,158][302,284]
TextView | 'Oturumlar' | cd='' | [98,202][237,239]
View clk | '' | cd='' | [323,158][594,284]
TextView | 'Canlı' | cd='' | [424,202][494,239]
View clk | '' | cd='' | [615,158][886,284]
TextView | 'Arşiv' | cd='' | [716,202][786,239]
EditText clk | 'zzz-yok-boyle' | cd='' | [32,294][886,441]
View clk | '' | cd='' | [734,306][886,432]
View | '' | cd='Temizle' | [789,348][831,390]
View clk | '' | cd='' | [0,450][918,568]
TextView | 'Yeni sohbet' | cd='' | [121,491][309,534]
TextView | '"zzz-yok-boyle" için sonuç yok.' | cd='' | [53,716][541,759]
View clk | '' | cd='' | [154,781][441,907]
TextView | 'Aramayı temizle' | cd='' | [186,825][409,862]
TextView | 'Sohbet' | cd='' | [83,2257][171,2291]
View clk | '' | cd='' | [276,2127][530,2337]
TextView | 'Pano' | cd='' | [371,2257][435,2291]
View clk | '' | cd='' | [551,2127][805,2337]
TextView | 'Arena' | cd='' | [642,2257][714,2291]
View clk | '' | cd='' | [826,2127][1080,2337]
TextView | 'Ayarlar' | cd='' | [910,2257][996,2291]
