View | '' | cd='Oturumlar' | [74,184][137,247]
TextView | 'Sohbet' | cd='' | [210,157][343,220]
View | '' | cd='Menü' | [723,184][786,247]
View | '' | cd='Sesli sohbet' | [849,184][912,247]
View | '' | cd='Yeni sohbet' | [975,184][1038,247]
TextView | "Hermes'e yaz" | cd='' | [166,810][432,873]
TextView | 'Gateway bağlantısı bekleniyor…' | cd='' | [63,889][534,952]
TextView | 'Sunucu ekle' | cd='' | [199,1026][399,1079]
TextView | 'Yönlendirici' | cd='' | [89,1690][242,1743]
View | '' | cd='Son 60 sn token hızı gra' | [37,1814][184,1861]
TextView | '0 aktif ajan' | cd='' | [210,1806][382,1869]
TextView | '≈—t/s' | cd='' | [913,1806][1001,1869]
View | '' | cd='Oturum dökümü' | [1001,1817][1043,1859]
View | '' | cd='Ek' | [48,2012][111,2075]
EditText clk | 'tur19\nx' | cd='' | [142,1896][906,2106]
View | '' | cd='Gönder' | [957,2015][1020,2078]
TextView | 'Sohbet' | cd='' | [78,2253][176,2295]
TextView | 'Pano' | cd='' | [367,2253][438,2295]
TextView | 'Arena' | cd='' | [636,2253][719,2295]
TextView | 'Ayarlar' | cd='' | [903,2253][1003,2295]
